UNIQUE_ID,YEAR,COUNTRY,REGION,CONTINENT,HAPPINESS_SCORE,HAPPINESS_RANK,HAPPINESS_RANK_DECILE,HAPPINESS_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_SCORE,ECONOMY_GDP_PER_CAPITA_RANK,ECONOMY_GDP_PER_CAPITA_RANK_DECILE,ECONOMY_GDP_PER_CAPITA_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_PCT,FAMILY_SCORE,FAMILY_RANK,FAMILY_RANK_DECILE,FAMILY_RANK_QUARTILE,FAMILY_PCT,HEALTH_LIFE_EXPECTANCY_SCORE,HEALTH_LIFE_EXPECTANCY_RANK,HEALTH_LIFE_EXPECTANCY_RANK_DECILE,HEALTH_LIFE_EXPECTANCY_RANK_QUARTILE,HEALTH_LIFE_EXPECTANCY_PCT,FREEDOM_SCORE,FREEDOM_RANK,FREEDOM_RANK_DECILE,FREEDOM_RANK_QUARTILE,FREEDOM_PCT,GENEROSITY_SCORE,GENEROSITY_RANK,GENEROSITY_RANK_DECILE,GENEROSITY_RANK_QUARTILE,GENEROSITY_PCT,TRUST_GOVERNMENT_CORRUPTION_SCORE,TRUST_GOVERNMENT_CORRUPTION_RANK,TRUST_GOVERNMENT_CORRUPTION_RANK_DECILE,TRUST_GOVERNMENT_CORRUPTION_RANK_QUARTILE,TRUST_GOVERNMENT_CORRUPTION_PCT
Comoros_2015,2015,Comoros,"Arab States",Africa,3.956,140,9,4,0.23906,144,10,4,0.11965682997748193,0.79273,125,8,4,0.3967855595114703,0.36315,128,9,4,0.1817676648130041,0.22917,141,9,4,0.1147065804672509,0.17441,106,7,3,0.08729753118736176,0.199,32,2,1,0.0996055773485893
Nicaragua_2015,2015,Nicaragua,"South/Latin America","North America",5.828,57,4,2,0.59325,116,8,3,0.16930987807476966,1.14184,53,4,2,0.32587407600750873,0.74314,58,4,2,0.21208755960923611,0.55475,39,3,1,0.15832222981886632,0.27815,48,3,2,0.07938228929677908,0.19317,33,3,1,0.05512952344319224
Belarus_2015,2015,Belarus,Europe,Europe,5.813,59,4,2,1.03192,60,4,2,0.2802530820039151,1.23289,34,3,1,0.3348333588882771,0.73608,61,4,2,0.19990764283616363,0.37938,102,7,3,0.10303358334011058,0.11046,138,9,4,0.029999182360510152,0.1909,34,3,1,0.05184540957668063
Myanmar_2015,2015,Myanmar,"Asia & Pacific",Asia,4.307,129,9,4,0.27108,139,9,4,0.093833391721723,0.70905,135,9,4,0.2454351833168484,0.48246,116,8,3,0.1670018428448639,0.44017,77,5,2,0.15236330617757415,0.79588,1,1,1,0.27549109174734787,0.19034,35,3,1,0.06588552595147286
Syria_2015,2015,Syria,"Asia & Pacific",Asia,3.006,156,10,4,0.6632,107,7,3,0.24770114828020326,0.47489,146,10,4,0.17736850580629465,0.72193,72,5,2,0.26963644611291476,0.15684,150,10,4,0.058578778694747084,0.47179,9,1,1,0.1762106718786094,0.18906,36,3,1,0.07061275371118449
Austria_2015,2015,Austria,Europe,Europe,7.2,13,1,1,1.33723,12,1,1,0.28654110506004987,1.29704,16,1,1,0.27792921183058505,0.89042,23,2,1,0.19079884736760444,0.62433,17,2,1,0.1337811804928554,0.33088,34,3,1,0.07090083175228008,0.18676,37,3,1,0.040018857051890885
Ecuador_2015,2015,Ecuador,"South/Latin America","South America",5.975,48,3,2,0.86402,87,6,3,0.25149173826517623,0.99903,90,6,3,0.2907893251200722,0.79075,45,3,2,0.2301649279622081,0.48574,61,4,2,0.14138515296497878,0.11541,133,9,4,0.03359258104186527,0.1809,38,3,1,0.052654862289846255
Japan_2015,2015,Japan,"Asia & Pacific",Asia,5.987,46,3,2,1.27074,26,2,1,0.29533892824928676,1.25712,27,2,1,0.2921734327898041,0.99111,3,1,1,0.2303487461531582,0.49615,54,4,2,0.11531265380302197,0.10705,139,9,4,0.024880016326601178,0.1806,39,3,1,0.04197413302611425
"Ivory Coast_2015",2015,"Ivory Coast",Africa,Africa,3.655,151,10,4,0.46534,123,8,4,0.2079480896185896,0.77115,130,9,4,0.3446064636934973,0.15185,149,10,4,0.0678577345509415,0.46866,67,5,2,0.20943171330361673,0.20165,88,6,3,0.0901120298959475,0.17922,40,3,1,0.08008866369855808
Brazil_2015,2015,Brazil,"South/Latin America","South America",6.983,16,1,1,0.98124,70,5,2,0.26356235924507876,1.23287,35,3,1,0.3311505133634204,0.69702,79,5,2,0.18722049539584476,0.49049,57,4,2,0.13174626205968729,0.14574,119,8,4,0.039145958038343164,0.17521,41,3,2,0.04706163825584196
